"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2022","-","meergezins- en kamerwoning","Verbouwen of hergebruik","Q3","3","3","3","14","19","468,67","339","1.081,66","476,91","0,00","0,00"
"2022","-","meergezins- en kamerwoning","Verbouwen of hergebruik","Q2","5","5","5","14","42","707,80","1.059","2.267,60","890,80","0,00","0,00"
"2022","-","meergezins- en kamerwoning","Nieuwbouw","Q4","3","3","3","25","39","809,19","855","2.423,59","505,87","0,00","0,00"
"2022","-","meergezins- en kamerwoning","Verbouwen of hergebruik","Q4","5","5","5","25","55","1.140,06","1.776","3.097,32","836,80","0,00","0,00"
"2022","-","meergezins- en kamerwoning","Nieuwbouw","Q3","1","1","1","5","2","1.199,20","55","412,40","236,80","0,00","0,00"
"2022","RVVB","eengezinswoning","Verbouwen of hergebruik","Q2","7","9","9","8","0","1.373,33","0","1.753,56","1.096,10","0,00","0,00"
"2022","Gemeente","meergezins- en kamerwoning","Verbouwen of hergebruik","Q1","17","17","17","35","88","1.488,53","2.531","5.195,28","2.182,93","0,00","0,00"
"2022","RVVB","eengezinswoning","Verbouwen of hergebruik","Q1","7","8","8","8","0","1.660,05","0","1.660,05","1.223,85","0,00","0,00"
"2022","Gemeente","meergezins- en kamerwoning","Verbouwen of hergebruik","Q3","19","19","19","46","177","1.665,93","9.735","7.210,86","2.981,05","0,00","0,00"
"2022","Gemeente","meergezins- en kamerwoning","Verbouwen of hergebruik","Q2","25","25","25","51","463","1.863,38","9.726","13.825,11","5.009,84","0,00","0,00"
"2022","RVVB","meergezinswoning","Verbouwen of hergebruik","Q2","3","3","3","17","0","1.924,40","0","2.387,81","1.162,42","0,00","0,00"
"2022","RVVB","eengezinswoning","Verbouwen of hergebruik","Q4","11","13","13","11","0","2.762,35","0","5.518,60","4.616,07","0,00","0,00"
"2022","RVVB","eengezinswoning","Verbouwen of hergebruik","Q3","12","15","15","13","0","2.862,38","0","3.172,52","2.382,66","0,00","0,00"
"2022","Gemeente","meergezins- en kamerwoning","Nieuwbouw","Q4","2","3","3","67","204","4.511,40","4.667","11.537,19","4.508,49","0,00","0,00"
"2022","RVVB","meergezinswoning","Verbouwen of hergebruik","Q4","10","10","10","46","0","5.326,06","0","6.564,31","3.308,41","0,00","0,00"
"2022","RVVB","eengezinswoning","Nieuwbouw","Q2","7","39","39","39","0","5.729,81","0","5.653,86","3.546,17","0,00","0,00"
"2022","Gemeente","meergezins- en kamerwoning","Verbouwen of hergebruik","Q4","29","29","29","96","1.719","5.918,37","8.950","21.140,15","7.524,66","0,00","0,00"
"2022","RVVB","eengezinswoning","Nieuwbouw","Q1","15","34","34","34","0","8.228,52","0","8.813,91","4.497,47","0,00","0,00"
"2022","RVVB","meergezinswoning","Nieuwbouw","Q1","9","12","12","133","0","11.259,97","0","13.693,17","5.065,11","0,00","0,00"
"2022","RVVB","eengezinswoning","Nieuwbouw","Q4","21","115","115","115","0","17.438,17","0","33.462,13","10.971,06","0,00","0,00"
"2022","RVVB","meergezinswoning","Nieuwbouw","Q3","15","17","17","211","0","19.788,48","0","23.715,94","9.251,29","0,00","0,00"
"2022","Provincie","meergezinswoning","Verbouwen of hergebruik","Q1","52","55","55","286","0","24.811,09","0","46.313,33","25.930,09","0,00","0,00"
"2022","RVVB","eengezinswoning","Nieuwbouw","Q3","19","157","157","157","0","27.330,98","0","27.032,47","14.048,72","0,00","0,00"
"2022","RVVB","meergezinswoning","Nieuwbouw","Q2","13","15","15","314","0","29.478,89","0","35.704,41","8.692,46","0,00","0,00"
"2022","Provincie","eengezinswoning","Verbouwen of hergebruik","Q3","110","156","156","148","0","30.115,45","0","83.278,07","26.629,64","0,00","0,00"
"2022","Provincie","eengezinswoning","Verbouwen of hergebruik","Q1","128","150","151","139","0","30.216,22","0","38.173,15","26.686,03","0,00","0,00"
"2022","Provincie","eengezinswoning","Verbouwen of hergebruik","Q2","119","167","167","159","0","32.886,24","0","58.749,85","46.928,45","0,00","0,00"
"2022","Provincie","eengezinswoning","Nieuwbouw","Q1","81","155","155","151","0","34.487,40","0","27.614,34","16.968,03","0,00","0,00"
"2022","Provincie","meergezinswoning","Verbouwen of hergebruik","Q3","65","69","69","410","0","41.364,23","0","84.880,97","16.469,38","0,00","0,00"
"2022","Provincie","meergezinswoning","Verbouwen of hergebruik","Q4","55","57","57","252","0","45.423,35","0","34.290,58","20.348,96","0,00","0,00"
"2022","Provincie","eengezinswoning","Nieuwbouw","Q3","117","333","333","330","0","54.217,86","0","58.042,64","34.439,35","0,00","0,00"
"2022","Provincie","eengezinswoning","Nieuwbouw","Q2","115","342","342","338","0","56.603,42","0","58.464,39","34.066,18","0,00","0,00"
"2022","Provincie","eengezinswoning","Verbouwen of hergebruik","Q4","114","144","144","140","0","61.947,76","0","41.922,51","28.681,47","0,00","0,00"
"2022","Provincie","meergezinswoning","Verbouwen of hergebruik","Q2","65","71","71","487","0","63.157,97","0","75.653,66","23.922,28","0,00","0,00"
"2022","RVVB","meergezinswoning","Nieuwbouw","Q4","24","44","44","622","0","74.343,34","0","61.298,02","26.523,67","0,00","0,00"
"2022","Provincie","eengezinswoning","Nieuwbouw","Q4","166","482","482","479","0","88.266,12","0","78.627,31","47.098,30","0,00","0,00"
"2022","Provincie","meergezinswoning","Nieuwbouw","Q1","70","93","93","838","0","110.206,46","0","95.922,91","39.980,35","0,00","0,00"
"2022","Provincie","meergezinswoning","Nieuwbouw","Q3","72","104","104","1.289","0","118.172,34","0","222.650,45","56.469,60","0,00","0,00"
"2022","-","meergezinswoning","Verbouwen of hergebruik","Q2","200","209","210","855","0","125.881,61","0","116.670,17","51.019,39","0,00","0,00"
"2022","-","meergezinswoning","Verbouwen of hergebruik","Q1","166","173","174","684","0","138.925,57","0","83.404,97","56.470,57","0,00","0,00"
"2022","-","eengezinswoning","Verbouwen of hergebruik","Q4","678","735","739","671","0","141.394,53","0","186.383,21","123.369,19","0,00","0,00"
"2022","-","meergezinswoning","Verbouwen of hergebruik","Q4","221","226","226","954","0","152.244,60","0","119.814,62","47.939,65","0,00","0,00"
"2022","-","eengezinswoning","Verbouwen of hergebruik","Q3","593","659","661","604","0","168.687,17","0","276.219,56","98.831,68","0,00","0,00"
"2022","-","eengezinswoning","Nieuwbouw","Q2","370","973","973","966","0","170.910,57","0","171.258,64","135.087,64","0,00","0,00"
